Line #,st,en Version,ka Translation
614,ka.stories.form.hint.about,Short summary of story that will be used on the home page and when you story is shared,"ამბის მოკლე შინაარსი, რომელიც გამოჩნდება საწყის გვერდზე, როდესაც თქვენი ამბავი გამოქვეყნდება"
615,ka.stories.form.hint.locale,Select the language of your story. Allows users to filter stories by a language.,"მიუთითეთ ამბის ენა. ეს საშუალებას მისცემს მომხმარებლებს, მოიძიონ ამბავი ენის მიხედვით."
616,ka.stories.form.hint.categories,Select the category(s) your story belongs to. Allows users to filter stories by a category.,"აირჩიეთ, რომელ კატეგორიას განეკუთვნება თქვენი ამბავი. ეს საშუალებას მისცემს მომხმარებლებს, მოიძიონ ამბავი კატეგორიის მიხედვით."
617,ka.stories.form.hint.tag_list,"Enter text to find existing tags. If your tag does not exist yet, press 'Enter' to add the new tag to the list.","შეიყვანეთ ტექსტი, რომ იპოვოთ არსებული თეგი. თუ თქვენი თეგი ჯერ არ არსებობს, დააჭირეთ 'შეყვანას' და დაამატეთ იგი."
618,ka.stories.form.hint.story_type,Select the type of your story.,აირჩიეტ ამბის ტიპი
619,ka.stories.form.hint.theme,Select the theme(s) your story belongs to.,"აირჩიეთ თემა, რომელსაც თქვენი ამბავი განეკუთვნება"
620,ka.stories.form.hint.in_theme_slider,"If checked, this story will appear in the slider at the top of the theme page.","თუ მონიშნავთ ეს ამბავი გამოჩნდება სლაიდერში, თემის გვერდის ზედა ნაწილში"
621,ka.stories.collaborators.title,Collaborators for '%{title}',ამბის '%{title}' თანაავტორები
622,ka.stories.collaborators.owner_header,Story Author,ამბის ავტორი
623,ka.stories.collaborators.collaborators_header,Story Collaborators,ამბის თანაავტორები
624,ka.stories.collaborators.explanation,A story collaborator is someone that has access to edit this story.,თანაავტორებს შეუძლიათ ამბის რედაქტირება
625,ka.stories.collaborators.editors_header,Editors,რედაქტორები
626,ka.stories.collaborators.editor_explanation,An Editor has access to add/edit the story and translate the story into any language. An Editor can also add collaborators and publish the story.,რედაქტორს აქვს უფლება დაამატოს/დაარედაქტიროს ამბავი და თარგმნოს იგი სხვადასხვა ენაზე. რედაქტორს ასევე შეუძლია დაამატოს თანაავტორი და გამოაქვეყნოს ამბავი.
627,ka.stories.collaborators.translators_header,Translators,მთარგმნელები
628,ka.stories.collaborators.translator_explanation,"A Translator has access to translate the story into a specific language(s). A Translator does not have the ability to edit the original story, add collaborators or publish the story.","მთარმგნელს აქვს წვდომა თარქმნოს ამავი სხვადასხვა ენაზე. მას არ აქვს ამბის რედაქტირების, თანაავტორის დამატების ან ამბის გამოქვეყნების შესაძლებლობა."
629,ka.stories.collaborators.remove_title,Remove %{name},%{name}-ის ამოშლა
630,ka.stories.collaborators.not_accepted_title,%{name} has not accepted the invitation yet,%{name}-ს ჯერ არ უპასუხია მოწვევაზე
631,ka.stories.collaborators.add_header,Add Collaborators,თანაავტორების დამატება
632,ka.stories.collaborators.add_explanation,"For the users you enter below, an email will be sent inviting them to be a collaborator on this story.","თქვენ მიერ მითითებულ მომხმარებლებს გაეგზავნებათ მოსაწვევები, რათა მონაწილეობა მიიღონ თქვენთან ერთდ ამ ამბის შექმნაში."
633,ka.stories.collaborators.editor_label,Enter the names or email addresses of the editors,შეიყვანეთ რედაქტორების სახელები ან საფოსტო მისამართები
634,ka.stories.collaborators.language_label,Select the translation language(s),შეიყვანეთ თარგმანის ენა
635,ka.stories.collaborators.translator_label,Enter the name or email address of the translator,შეიყვანეთ მთარგმნელის სახელი ან საფოსტო მისამართი
636,ka.stories.collaborators.translator_add,Add Another Translator,სხვა მთარგმნელის დამატება
637,ka.stories.collaborators.translator_remove,Remove Translator,მთარგმნელის წაშლა
638,ka.stories.collaborators.message,Add Message to Notification (optional),შეტყობინებისთვის გზავნილის დამატება (არ არის სავალდებულო)
639,ka.stories.collaborators.submit,Send Collaboration Invitation,თანაავტორობის მოსაწვევის გაგზავნა
640,ka.stories.media.form_title,Full-Screen Media Slideshow Form,მთელ ეკრანზე გაშლილი მედია სლაიდშოუ
641,ka.stories.media.left,Left,მარცხნივ
642,ka.stories.media.center,Center,ცენტრში
643,ka.stories.media.right,Right,მარჯვნივ
644,ka.stories.media.image,Image,გამოსახულება
645,ka.stories.media.video,Video,ვიდეო
646,ka.stories.media.floating,Floating,მოსიარულე
647,ka.stories.media.fixed,Fixed,ფიქსირებული
648,ka.stories.media.placeholder.title,Media title,მედიაფაილის სათაური
649,ka.stories.media.placeholder.caption,Caption text,წარწერა
650,ka.stories.media.placeholder.source,Source of the image/video,ფოტოს/ვიდეოს წყარო
651,ka.stories.media.hint.title,"This text only appears in the left sidebar, it will not show up in the story","ეს ტექსტი გამოჩნდება მხოლოდ მარცხენა პანელში, და არა თვითონ ამბავში"
652,ka.stories.media.hint.media_type,"For videos, an image is necessary because videos are not loaded on mobile devices.","ვიდეოსთვის ფოტო აუცილებელია, რადგან ვიდეო არ იტვირთება მობილურ ტელეფონებზე"
653,ka.stories.media.hint.caption,"Caption text will appear on top of the image/video. If this is the first item in the story, the caption text is hidden.","წარწერა გამოჩნდება გამოსახულებაზე/ვიდეოზე. თუ ეს ფოტო/ვიდეო ამბის პირველი სექციაა, წარწერა არ გამოჩნდება."
654,ka.stories.media.hint.source,"Source of the image/video, appears in the bottom-right corner","ფოტოს/ვიდეოს წყარო, გამოჩნდება ქვედა მარჯვენა კუთხეში"
655,ka.stories.media.hint.image,Only jpg format allowed; 4MB file size limit,დასაშვებია მხოლოდ jpg ფორმატი; ფაილის მაქსიმალური ზომა 4MB
656,ka.stories.media.hint.video,"Only mp4, mov, webm, ogv, flv, avi and wmv formats accepted; 25MB file size limit. After videos are uploaded they must be processed before they are available for viewing. You will receive a notification when the processing is complete, typically within a few minutes.","დასაშვებია mp4, mov, webm, ogv, flv, avi და wmv ფორმატები; ფაილის მაქსიმალური ზომა 25MB. ატვირთვის შემდეგ, სანამ ვიდეო ამბავს დაემატება, საჭიროა მათი დამუშავება, რაც, ჩვეულებრივ, რამდენიმე წუთს გრძელდება. როდესაც ვიდეოს დამუშავება დასრულდება, თქვენ მიიღებთ შეტყობინებას."
657,ka.stories.media.hint.caption_align,The Caption text will appear on top of the image/video (appears on the left by default),"წარწერა გამოჩნდება სურათზე/ვიდეოზე (ტექსტის ავტომატური მდებარეობა მარცხენა მხარეა, რისი შეცვლაც შეგიძლიათ)"
658,ka.stories.media.hint.infobox_type,The Caption text can float on top of the image/video or can be fixed at the bottom of the image/video,"ამ ტექსტს შეუძლია ფოტოზე/ვიდეოზე ზემოდან იმოძრაოს, ან იყოს დაფიქსირებული ფოტოს/ვიდეოს ქვედა ნაწილში"
659,ka.stories.media.hint.video_loop,"If checked, the video will loop infinitly, otherwise the video will not loop","თუ მონიშნავთ, ვიდეო განმეორდება უსასრულოდ, სხვა შემთხვევაში ვიდეო არ განმეორდება"
660,ka.stories.section.form_title,Section Form,სექციის ფორმა
661,ka.stories.section.yes,Yes,კი
662,ka.stories.section.no,No,არა
663,ka.stories.section.placeholder.title,Section title,სექციის სათაური
664,ka.stories.section.hint.title,"This text appears in the left sidebar and, if Navigation Shortcut is selected, will appear as the title text for the shortcut","ეს ტექსტი გამოჩნდება მარცხენა განყოფილებაში და, თუ ეს თავი გამოყოფილია, გამოჩნდება ამ თავის სათაურად"
665,ka.stories.section.hint.type,Selecting this type determines what kind of information you can add into this section,"ამ ტიპის არჩევა განსაზღვრავს იმას, თუ რა სახის ინფორმაციის დამატება შეგეძლებათ ამ სექციაში"
666,ka.stories.section.hint.has_marker,"If checked, there will be a navigation shortcut link to go to this section","თუ მონიშნავთ, ეს სექცია გამოიყოფა და შესაძლებელი იქნება მასზე ცალკე ბმულით გადასვლა"
667,ka.stories.section.hint.audio,Background audio to play while this section is in view (mp3 format only; 10mb file size limit),მუსიკალური გაფორმება ამ სექციისთვის (დასაშვებია მხოლოდ mp3 ფორმატი; ფაილის მაქსიმალური ზომა 10MB)
668,ka.stories.section.hint.delete_audio,"If checked, the Audio Track will be deleted","თუ მონიშნავთ, აუდიო ფაილი წაიშლება"
669,ka.stories.content.form_title,Text Form,ტექსტის ფორმა
670,ka.stories.content.placeholder.title,Text title,ტექსტის სათაური
671,ka.stories.content.placeholder.caption,optional,არ არის სავალდებულო
672,ka.stories.content.placeholder.sub_caption,optional,არ არის სავალდებულო
673,ka.stories.content.hint.title,"This text only appears in the left sidebar, it will not show up in the story","ეს ტექსტი გამოჩნდება მხოლოდ მარცხენა პანელში, და არა თვითონ ამბავში"
674,ka.stories.content.hint.caption,Heading of text will appear at the top of the section,კონტენტის სათაური გამოჩნდება სექციის ზემოთ
675,ka.stories.content.hint.sub_caption,Subheading of text will appear below the Heading,ტექსტის ქვესათური გამოჩნდება ტექსტის სათაურის ქვემოთ
676,ka.stories.content.hint.content,"Text can include html, css styling and images","ტექსტი შეიძლება შეიცავდეს html, css სტილს და ფოტოს"
677,ka.stories.reviewer_key.title,Private URL,ბმული ამბის სანახავად
678,ka.stories.reviewer_key.desc,"You can copy and share the following URL with whomever you want to review '%{title}' before it is published. These people will have the ability to read your story, but not edit it.","თქვენ შეგიძლიათ დააკოპიროთ და გაუზიაროთ ეს ბმული ადამიანებს, ვისაც შეეძლებათ ამბის '%{title}' ნახვა მის გამოქვეყნებამდე. ამ ბმულით შესაძლებელია მხოლოდ ამბის ნახვა და არა მისი რედაქტირება."
679,ka.stories.slideshow.form_title,Image Slideshow Form,გამოსახულების სლაიდშოუს ფორმა
680,ka.stories.slideshow.add_image,Add Image,გამოსახულების დამატება
681,ka.stories.slideshow.placeholder.title,Slideshow Title,სლაიდშოუს სათაური
682,ka.stories.slideshow.placeholder.caption,optional,არ არის სავალდებულო
683,ka.stories.slideshow.hint.title,"This text only appears in the left sidebar, it will not show up in the story","ეს ტექსტი გამოჩნდება მხოლოდ მარცხენა პანელში, და არა თვითონ ამბავში"
684,ka.stories.slideshow.hint.caption,Heading will appear at the top of the slideshow,წარწერა გამოჩნდება სლაიდშოუს ზედა ნაწილში
685,ka.stories.slideshow.hint.description,The description will appear below the slideshow,არღწერა გამოჩნდება სლაიდშოუს ქვემოთ
686,ka.stories.asset_file_fields.remove_image,Remove,წაშლა
687,ka.stories.asset_file_fields.placeholder.caption,optional,არ არის სავალდებულო
688,ka.stories.asset_file_fields.placeholder.source,optional,არ არის სავალდებულო
689,ka.stories.asset_file_fields.hint.caption,Image Description will appear below the image,სურათის აღწერა გამოჩნდება სურათის ქვემოთ
690,ka.stories.asset_file_fields.hint.source,Source will appear below the Image Description,წყარო გამოჩნდება სურათის აღწერის ქვემოთ
691,ka.stories.asset_file_fields.hint.asset,Only jpg and png format allowed; 4MB file size limit,მხოლოდ jpg და png ფორმატია დასაშვები; ფაილის მაქსიმალური ზომა 4MB
692,ka.stories.asset_file_fields.label.caption,Image Description,სურათის აღწერა
693,ka.stories.asset_file_fields.label.source,Image Source,სურათის წყარო
694,ka.stories.embed_media.form_title,Embed Online Media Form,ჩასასმელი ონლაინ აუდიო/ვიდეო ფაილის ფორმა
695,ka.stories.embed_media.get_media,Get Online Media,ონლაინ აუდიო/ვიდეო ფაილის ჩასმა
696,ka.stories.embed_media.preview,Preview of Online Media,ონლაინ აუდიო/ვიდეო ფაილის ნახვა
697,ka.stories.embed_media.error,The URL could not be processed. Please try again.,"ბმული ვერ დამუშავდა. გთხოვთ, კიდევ სცადეთ."
698,ka.stories.embed_media.placeholder.title,Embed Online Media Title,ონლაინ აუდიო/ვიდეო ფაილის სათაური
699,ka.stories.embed_media.placeholder.url,Url to online media,ონლაინ აუდიო/ვიდეო ფაილის ბმული
700,ka.stories.embed_media.hint.title,"This text only appears in the left sidebar, it will not show up in the story","ეს ტექსტი გამოჩნდება მხოლოდ მარცხენა პანელში, და არა თვითონ ამბავში"
701,ka.stories.embed_media.hint.url,"The following sites can be used for embeding online media: AUDIO: Soundcloud, Spotify; VIDEO: YouTube, Vimeo, Twitch.TV, Dotsub, Dailymotion, LiveLeak, Vine, TED","ჩასასმელი ონლაინ აუდიო/ვიდეო ფაილისთვის შეგიძლიათ გამოიყენოთ შემდეგი საიტები: აუდიო: Soundcloud, Spotify; ვიდეო: YouTube, Vimeo, Twitch.TV, Dotsub, Dailymotion, LiveLeak, Vine, TED"
702,ka.stories.youtube.form_title,YouTube Video Form,YouTube ვიდეოს ფორმა
703,ka.stories.youtube.get_media,Get Youtube Video,მიიღეთ თქვენი Youtube ვიდეო
704,ka.stories.youtube.preview,Preview of YouTube Video,YouTube ვიდეოს წინასწარი ნახვა
705,ka.stories.youtube.error,The URL could not be processed. Please try again.,URL-ი ვერ დამუშავდა. გთხოვთ სცადოთ ხელახლა.
706,ka.stories.youtube.generate_iframe.missing_api_key,value can't be generated due to missing API key.,value can't be generated due to missing API key.
707,ka.stories.youtube.generate_iframe.error,is not valid.,is not valid.
708,ka.stories.youtube.placeholder.title,YouTube Title,YouTube სათაური
709,ka.stories.youtube.placeholder.url,Url to YouTube video,YouTube ვიდეოს Url
710,ka.stories.youtube.hint.title,"This text only appears in the left sidebar, it will not show up in the story","ეს ტექსტი გამოჩნდება მხოლოდ მარცხენა პანელში, და არა თვითონ ამბავში"
711,ka.stories.youtube.hint.url,Copy a YouTube URL and paste it here,დააკოპირეთ YouTube URL-ი და ჩასვით აქ
712,ka.stories.youtube.hint.fullscreen,"If checked, the video will take up the entire screen",თუ მონიშნულია ვიდეო დაიკავებს მთლიან ეკრანს
713,ka.stories.youtube.hint.loop,"If checked, the video will loop over and over",თუ მონიშნულია ვიდეო დასრულების თანავე ხელახლა ჩაიტვირთება
714,ka.stories.youtube.hint.info,"If checked, the title bar will be shown on top of the video",თუ მონიშნულია სათაურის ველი გამოჩნდება ვიდეოს ზედა ნაწილში
715,ka.stories.youtube.hint.cc,"If checked, the video subtitles will be shown by default",თუ მონიშნულია სუბტიტრები ავტომატურად გამოჩნდება
716,ka.stories.youtube.hint.menu_lang,Language of the YouTube menu/controls,YouTube მენიუს ენა
717,ka.stories.youtube.hint.cc_lang,Language of the subtitles to show by default,ავტომატური სუბტიტრების ენა
718,ka.stories.infographic.form_title,Infographic Form,Infographic Form
719,ka.stories.infographic.add_datasource,Add Data Source,Add Data Source
720,ka.stories.infographic.static,Static,Static
721,ka.stories.infographic.dynamic,Dynamic,Dynamic
722,ka.stories.infographic.inline,In Story,In Story
723,ka.stories.infographic.popup,Popup,Popup
724,ka.stories.infographic.label.dynamic_size,Infographic Dimensions in Width x Height,Infographic Dimensions in Width x Height
725,ka.stories.infographic.placeholder.title,Title,Title
726,ka.stories.infographic.placeholder.caption,optional,optional
727,ka.stories.infographic.placeholder.dataset_url,optional,optional
728,ka.stories.infographic.placeholder.dynamic_url,Interactive URL,Interactive URL
729,ka.stories.infographic.placeholder.dynamic_width,width,width
730,ka.stories.infographic.placeholder.dynamic_height,height,height
731,ka.stories.infographic.hint.title,"This text only appears in the left sidebar, it will not show up in the story","This text only appears in the left sidebar, it will not show up in the story"
732,ka.stories.infographic.hint.caption,"Heading of infographic will appear above the infographic image. If this Infographic Section is first in the story, you should leave this blank and use the Story Title field.","Heading of infographic will appear above the infographic image. If this Infographic Section is first in the story, you should leave this blank and use the Story Title field."
733,ka.stories.infographic.hint.description,"The description will appear below the infographic. If this Infographic Section is first in the story, the Story Summary will appear below the infographic image so if the Story Summary and Infographic Description are the same, you should leave this field blank.","The description will appear below the infographic. If this Infographic Section is first in the story, the Story Summary will appear below the infographic image so if the Story Summary and Infographic Description are the same, you should leave this field blank."
734,ka.stories.infographic.hint.image,Only jpg and png format allowed; 8MB file size limit,Only jpg and png format allowed; 8MB file size limit
735,ka.stories.infographic.hint.dataset_file,Please try to compress files to make for quicker download; 25MB file size limit,Please try to compress files to make for quicker download; 25MB file size limit
736,ka.stories.infographic.hint.dataset_url,URL to Dataset,URL to Dataset
737,ka.stories.infographic.hint.subtype,"Static infographics are images, Dynamic infographics require a URL.","Static infographics are images, Dynamic infographics require a URL."
738,ka.stories.infographic.hint.dynamic_url,URL to web page with interactive infographic,URL to web page with interactive infographic
739,ka.stories.infographic.hint.dynamic_size,Use these fields to indicate the space you want to reserve for showing this infographic. Leave the fields empty if you want the infographic to be fullscreen. The minimum value is 200.,Use these fields to indicate the space you want to reserve for showing this infographic. Leave the fields empty if you want the infographic to be fullscreen. The minimum value is 200.
740,ka.stories.infographic.hint.dynamic_render,The infographic can be rendered in the story or in a popup that appears after the user clicks on the infogaphic image in the story. Use the popup option if the infogaphic takes up the full screen or is very long.,The infographic can be rendered in the story or in a popup that appears after the user clicks on the infogaphic image in the story. Use the popup option if the infogaphic takes up the full screen or is very long.
741,ka.stories.infographic_datasource_fields.placeholder.url,optional,optional
742,ka.stories.infographic_datasource_fields.hint.name,Name of the data source,Name of the data source
743,ka.stories.infographic_datasource_fields.hint.url,URL to the online data source,URL to the online data source
744,ka.storyteller.byline,By,ავტორი
745,ka.storyteller.byline_media,Photos and videos by,ფოტოსა და ვიდეოს ავტორი
746,ka.storyteller.byline_translator,Translated by,თარგმნა
747,ka.storyteller.source,Source:,წყარო:
748,ka.storyteller.by,by,
749,ka.storyteller.related_stories,Related Stories,მსგავსი ამბები
750,ka.storyteller.view_all_stories_in,View all stories in,ყველა ამბის ნახვა
751,ka.storyteller.infographic.source,Data Source,მონაცემთა წყარო
752,ka.storyteller.infographic.dataset,Related Items,მასალები ამ თემაზე
753,ka.storyteller.infographic.download,Download File,ჩამოტვირთვა
754,ka.storyteller.infographic.online,View Data Online,მონაცემთა ნახვა ონლაინ
755,ka.settings.index.title,Settings,პარამეტრები
756,ka.settings.index.facebook_avatar,This is your avatar from Facebook.,ეს არის თქვენი პროფილის სურათი Facebook-იდან.
757,ka.settings.index.use_facebook_avatar,Use Facebook Avatar,გამოიყენეთ Facebook-ის პროფილის სურათი
758,ka.settings.index.hint.about,Short summary about yourself. This will be shown with the stories that you publish.,მოკლე ტექსტი თქვენ შესახებ. ეს გამოჩნდება თქვენ მიერ გამოქვეყნებულ ამბებთან ერთად.
759,ka.settings.index.hint.default_story_locale,Select the language you want to use by default when creating a new story.,"აირჩიეთ ენა, რომელსაც გამოიყენებთ ამბის შექმნისას."
760,ka.settings.index.submit,Save Settings,პარამეტრების შენახვა
761,ka.settings.invitations.title,Collaboration Invitations,თანაავტორების მოწვევა
762,ka.settings.invitations.no_invitations,At this time you have no invitations waiting for you.,ამ დროისთვის თქვენ არ გაქვთ ახალი მოწვევა თანაავტორობაზე.
763,ka.settings.invitations.accept_link,Accept,დათანხმება
764,ka.settings.invitations.decline_link,Decline,უარის თქმა
765,ka.settings.invitations.header_date,Date Sent,გაგზავნის თარიღი
766,ka.settings.invitations.header_story,Story Title,ამბის სათური
767,ka.settings.invitations.header_role,Role,როლი
768,ka.settings.invitations.header_from,Sent By,გამომგზავნი
769,ka.settings.notifications.title,Notifications,შეტყობინებები
770,ka.settings.notifications.explain,You can receive email notifications whenever new stories are published on Chai Khana! Simply sign in to subscribe.,"თქვენ შეგიძლიათ მიიღოთ ელექტორონული ფოსტის შეტყობინება, როცა ახალი ამბავი დაემატება ""ჩაი ხანას"" ვებგვერდზე! ამისთვის საჭიროა მონიშნოთ თვალყურის დევნის ღილაკი."
771,ka.settings.notifications.all_sub_title,All Notifications,ყველა შეტყობინება
772,ka.settings.notifications.all_label,Do you want to recieve any notifications from Chai Khana?,გსურთ მიიღოთ შეტყობინებები “Chai Khanaსგან”?
773,ka.settings.notifications.all_no,"No, do not send me any notifications.","არა, არ გამომიგზავნოთ შეტყობინებები."
774,ka.settings.notifications.all_yes,"Yes, I want notifications sent to me.","დიახ, მსურს შეტყობინებების მიღება."
775,ka.settings.notifications.story_comment_sub_title,New Story Comment Notifications,შეტყობინებები ამბის კომენტარებზე
776,ka.settings.notifications.story_comment_label,Do you want to recieve notifications when a comment is made to one of your stories?,"გსურთ მიიღოთ შეტყობინებები, როდესაც თქვენს ამბავზე დააკომენტარებენ?"
777,ka.settings.notifications.story_comment_no,"No, do not send me any notifications.","არა, არ გამომიგზავნოთ შეტყობინებები."
778,ka.settings.notifications.story_comment_yes,"Yes, I want notifications sent to me.","დიახ, მსურს შეტყობინებების მიღება."
779,ka.settings.notifications.new_themes_sub_title,New Theme Notifications,ახალი თემის შეტყობინება
780,ka.settings.notifications.new_themes_all,Notify me when any theme is added.,"შემატყობინეთ, როცა ახალი თემა იქნება დამატებული."
781,ka.settings.notifications.new_themes_none,I do not want to receive notifications when a new theme is added.,"არ მსურს მივიღო შეტყობინებები, როცა ახალი თემა იქნება დამატებული."
782,ka.settings.notifications.new_stories_by_category,Notify me when a story is added to:,"შემატყობინეთ, როდესაც ახალი ამბავი დაემატება შემდეგ კატეგორიას:"
783,ka.settings.notifications.language_sub_title,Notification Language,შეტყობინების ენა
784,ka.settings.notifications.language_label,In what language do you want to receive the notifications?,რა ენაზე გსურთ შეტყობინებების მიღება?
785,ka.settings.notifications.following_sub_title,Chai Khana Users You Are Following,"მომხმარებლები, რომელთაც თქვენ თვალყურს ადევნებთ"
786,ka.settings.notifications.following_label,"You will receive notifications whenever a user you are following publishes a story. To not receive notifications from a user, unfollow them by clicking on their image.","თქვენ მიიღებთ შეტყობინებას, როდესაც მომხმარებელი, რომელსაც თვალყურს ადევნებთ, დაამატებს ახალ ისტორიას. ამ შეტყობინებების მიღება თუ არ გსურთ, გააუქმეთ თვალყურის დევნება მათ სურათზე დაჭერით."
787,ka.settings.notifications.following_not,"At this time, you are not following any users.",ამ დროისთვის თქვენ არცერთ მომხმარებელს არ ადევნებთ თვალყურს.
788,ka.settings.notifications.following_title1,Click to unfollow '%{name}',%{nickname}' თვალყურის დევნების გასაუქმებლად დააჭირეთ ღილაკს
789,ka.settings.notifications.following_title2,Click to follow '%{name}',%{nickname}' თვალყურის სადევნებლად დააჭირეთ ღილაკს
790,ka.settings.notifications.submit,Save Settings,პარამეტრების შენახვა
791,ka.imageuploader.missing,An error occurred while processing your image. Please try again.,"გამოსახულების დამუშავებისას დაფიქსირდა შეცდომა. გთხოვთ, სცადოთ ახლიდან."
792,ka.imageuploader.invalid_type,Invalid file type. Only .jpg or .png is allowed.,არასწორი ფაილის ტიპი. დასაშვებია jpg და png ფორმატი
793,ka.imageuploader.size_limit,Image file size is limited to 4MB,მაქსიმალური ზომა 4MB
794,ka.devise.mailer.reset_password_instructions.title,Hello %{nickname}!,"მოგესალმებით, %{nickname}!"
795,ka.devise.mailer.reset_password_instructions.p1,"Someone has requested a link to change your password on Chai Khana, and you can do this through the link below.","მივიღეთ მოთხოვნა %{app_name} თქვენი პაროლის შეცვლის შესახებ. პაროლის შესაცვლელად, მიჰყევით შემდეგ ბმულს."
796,ka.devise.mailer.reset_password_instructions.link_title,Change my password,პაროლის შეცვლა
797,ka.devise.mailer.reset_password_instructions.p2,"If you didn't request this, please ignore this email.","თუ თქვენ არ მოგითხოვიათ პაროლის შეცვლა, გთხოვთ, არ მიაქციოთ ყურადღება ამ შეტყობინებას."
798,ka.devise.mailer.reset_password_instructions.p3,Your password won't change until you access the link above and create a new one.,"თქვენი პაროლი იგივე დარჩება, სანამ არ გადახვალთ ზემოთ მითითებულ ბმულზე და შექმნით ახალ პაროლს."
