Line #,st,en Version,ru Translation
1,ru.activerecord.models.user,User,Пользователь
2,ru.activerecord.models.story,Story,История
3,ru.activerecord.models.section,Section,Раздел
4,ru.activerecord.models.medium,Full-Screen Media Slideshow,Медиа слайд-шоу во весь экран
5,ru.activerecord.models.content,Text,Текст
6,ru.activerecord.models.message,Message,Сообщение
7,ru.activerecord.models.slideshow,Image Slideshow,Слайд-шоу картинок
8,ru.activerecord.models.embed_medium,Embeddable Online Media,Встраиваемый онлайн медиа контент
9,ru.activerecord.models.youtube,YouTube Video,YouTube видео
10,ru.activerecord.models.language,Language,Язык
11,ru.activerecord.models.category,Category,Категория
12,ru.activerecord.models.page,Text for Pages,Текст для страницы
13,ru.activerecord.models.theme,Theme,Тема
14,ru.activerecord.models.story_type,Story Type,Тип истории
15,ru.activerecord.models.author,Author,Автор
16,ru.activerecord.models.asset,File,Файл
17,ru.activerecord.attributes.asset.asset_file_name,File,Файл
18,ru.activerecord.attributes.asset.asset_content_type,File Content Type,Тип содержимого файла 
19,ru.activerecord.attributes.asset.asset_file_size,File Size,Размер файла
23,ru.activerecord.attributes.user.email,Email Address,Адрес электронной почты
24,ru.activerecord.attributes.user.password,Password,Пароль
25,ru.activerecord.attributes.user.password_confirmation,Password Confirmation,Подтвердите Пароль
26,ru.activerecord.attributes.user.role,Role,Роль
27,ru.activerecord.attributes.user.remember_me,Remember Me,Запомнить меня
28,ru.activerecord.attributes.user.default_story_locale,Default Language for Your Stories,Язык историй по умолчанию
29,ru.activerecord.attributes.user.about,Summary of You,Коротко о себе
30,ru.activerecord.attributes.user.local_avatar,Avatar,Аватар
31,ru.activerecord.attributes.user.nickname,Nickname,Логин
32,ru.activerecord.attributes.user.sign_in_count,Number of Times Logged In,количество посещений на сайте
33,ru.activerecord.attributes.user.created_at,Date Created,Дата создания
34,ru.activerecord.attributes.user.current_sign_in_at,Date Last Logged In,Дата последнего посещения
35,ru.activerecord.attributes.author.avatar,Avatar,Аватар
36,ru.activerecord.attributes.author_translation.name,Name,Имя
37,ru.activerecord.attributes.author_translation.about,About,Про нас
38,ru.activerecord.attributes.author_translation.permalink,Permalink,Постоянная ссылка
42,ru.activerecord.attributes.story.user_id,Story Author,Автор истории
43,ru.activerecord.attributes.story.user_ids,Editors,Редакторы
44,ru.activerecord.attributes.story.publish_home_page,"Once published, make your story visible on the homepage?",Сделать Вашу историю видимой на странице после публикации?
45,ru.activerecord.attributes.story.template_id,Template,Шаблон
46,ru.activerecord.attributes.story.thumbnail,Thumbnail,Эскиз (Thumbnail)
47,ru.activerecord.attributes.story.story_locale,Story Language,Язык истории
48,ru.activerecord.attributes.story.tag_list,Tags,Теги
49,ru.activerecord.attributes.story.categories,Categories,Категории
50,ru.activerecord.attributes.story.story_type,Type,Тип
51,ru.activerecord.attributes.story.in_theme_slider,Show Story in Theme Slider,Показать историю в тематическом слайдере
52,ru.activerecord.attributes.story_translation.title,Story Title,Название истории
53,ru.activerecord.attributes.story_translation.author,Author(s),Автор(ы)
54,ru.activerecord.attributes.story_translation.media_author,Photo and Video Author(s),Автор(ы) видео и фото
55,ru.activerecord.attributes.story_translation.translation_author,Translation Author(s),Автор(ы) перевода
56,ru.activerecord.attributes.story_translation.published,Publish?,Публиковать?
57,ru.activerecord.attributes.story_translation.published_at,Was Published,Опубликована
58,ru.activerecord.attributes.story_translation.about,Story Summary,Аннотация к истории
59,ru.activerecord.attributes.story_translation.permalink,Story URL,URL Истории
60,ru.activerecord.attributes.story_translation.permalink_staging,Story URL,URL Истории
76,ru.activerecord.attributes.section.has_marker,Navigation Shortcut,Навигационная ссылка
77,ru.activerecord.attributes.section.type_id,Type,Тип
78,ru.activerecord.attributes.section.sort_order,Sort Order,Порядок Сортировки
79,ru.activerecord.attributes.section_translation.title,Title,Название
80,ru.activerecord.attributes.section_translation.audio,Audio Track,Аудиофайл
81,ru.activerecord.attributes.section_translation.delete_audio,Delete the Audio Track?,Удалить аудиофайл?
91,ru.activerecord.attributes.content_translation.title,Title,Название
92,ru.activerecord.attributes.content_translation.caption,Heading,Заголовок
93,ru.activerecord.attributes.content_translation.sub_caption,Subheading,Подзаголовок
94,ru.activerecord.attributes.content_translation.content,Text,Текст
99,ru.activerecord.attributes.medium.media_type,Media Type,Тип медии
100,ru.activerecord.attributes.medium.image,Image,Изображение
101,ru.activerecord.attributes.medium.video,Video,Видео
102,ru.activerecord.attributes.medium.video_loop,Loop Video,Переигрывать видео
103,ru.activerecord.attributes.medium_translation.title,Title,Название
104,ru.activerecord.attributes.medium_translation.caption,Caption,Описание
105,ru.activerecord.attributes.medium_translation.caption_align,Caption Alignment,Выравнивание описания
106,ru.activerecord.attributes.medium_translation.infobox_type,Caption Position,Расположение описания
107,ru.activerecord.attributes.medium_translation.summary,Summary,Аннотация к истории
108,ru.activerecord.attributes.medium_translation.source,Source,Источник
109,ru.activerecord.attributes.medium_translation.image_name,Image,Изображение
110,ru.activerecord.attributes.medium_translation.video_name,Video,Видео
131,ru.activerecord.attributes.slideshow_translation.title,Title,Заглавок
132,ru.activerecord.attributes.slideshow_translation.caption,Heading,Название
133,ru.activerecord.attributes.slideshow_translation.description,Description,Описание
134,ru.activerecord.attributes.slideshow_translation.asset_files_name,Image(s),Image(s)
145,ru.activerecord.attributes.message.name,Name,Имя
146,ru.activerecord.attributes.message.email,Email Address,Адрес электронной почты
147,ru.activerecord.attributes.message.message,Message,Письмо
148,ru.activerecord.attributes.message.message_type,Feedback Type,Тип отзыва
149,ru.activerecord.attributes.embed_medium_translation.title,Title,Заглавок
150,ru.activerecord.attributes.embed_medium_translation.url,Url to Online Media,Url к онлайн медии
153,ru.activerecord.attributes.youtube.fullscreen,Fullscreen,Во весь экран
154,ru.activerecord.attributes.youtube.loop,Loop,Переигровка
155,ru.activerecord.attributes.youtube.info,Show Video Title Bar,Показать заглавок видео
156,ru.activerecord.attributes.youtube_translation.title,Title,Заглавок
157,ru.activerecord.attributes.youtube_translation.url,Url to YouTube Video,Ссылка на YouTube
158,ru.activerecord.attributes.youtube_translation.menu_lang,Player Language,Язык плеера
159,ru.activerecord.attributes.youtube_translation.cc,Show Caption/Subtitle,Показать субтитры
160,ru.activerecord.attributes.youtube_translation.cc_lang,Subtitle Language,Язык субтитров
161,ru.activerecord.attributes.youtube_translation.code,Youtube Video Id,Youtube Video Id
168,ru.activerecord.attributes.infographic.published_at,Date Published,Дата публикации
169,ru.activerecord.attributes.infographic.image,Infographic Image,Изображения инфографики 
170,ru.activerecord.attributes.infographic.dataset_file,Related File,Набор данных файла
171,ru.activerecord.attributes.infographic.datasources,Data Sources,Источники данных
172,ru.activerecord.attributes.infographic.subtype,Infographic Type,Тип инфографики
173,ru.activerecord.attributes.infographic.dynamic_width,Width,Ширина
174,ru.activerecord.attributes.infographic.dynamic_height,Height,Высота
175,ru.activerecord.attributes.infographic.dynamic_render,Show Infographic in Story or in Popup,Show Infographic in Story or in Popup
176,ru.activerecord.attributes.infographic_translation.title,Title,Заголовок
177,ru.activerecord.attributes.infographic_translation.caption,Heading,Рубрика
178,ru.activerecord.attributes.infographic_translation.description,Description,Описание
179,ru.activerecord.attributes.infographic_translation.dataset_url,Online Dataset,Набор данных файла онлайн
180,ru.activerecord.attributes.infographic_translation.image_name,Image,Фото
187,ru.activerecord.attributes.infographic_translation.dynamic_url,Dynamic URL,Динамичный URL
200,ru.activerecord.attributes.infographic_datasource.name,Data Source Name,Название источника данных
201,ru.activerecord.attributes.infographic_datasource.url,Data Source URL,URL источника данных
202,ru.activerecord.attributes.language.locale,Locale,О локали.
203,ru.activerecord.attributes.language.name,Language Name,Язык
204,ru.activerecord.attributes.category_translation.name,Name,Имя
206,ru.activerecord.attributes.page.name,Unique name for content (do not change!),Уникальное название для контента (не изменять!)
207,ru.activerecord.attributes.page_translation.title,Title to show above content,"Назвнаие, которое будет показываться над контентом"
208,ru.activerecord.attributes.page_translation.content,Content,Контент
211,ru.activerecord.attributes.theme.is_published,Publish?,Публиковать?
212,ru.activerecord.attributes.theme.published_at,Date Published,Дата опубликования
213,ru.activerecord.attributes.theme.show_home_page,Show this theme on the home page?,Показать тему на главной странице
214,ru.activerecord.attributes.theme.published_item_count,Number of Published Items,Количество опубликованных объектов
215,ru.activerecord.attributes.theme.featured_stories,Featured Stories,Featured Stories
216,ru.activerecord.attributes.theme_translation.name,Name,Имя
217,ru.activerecord.attributes.theme_translation.edition,Edition,Выпуск
218,ru.activerecord.attributes.theme_translation.description,Description,Описание
219,ru.activerecord.attributes.theme_translation.permalink,URL,URL 
224,ru.activerecord.attributes.story_type.sort_order,Sort Order,Порядок Сортировки
225,ru.activerecord.attributes.story_type_translation.name,Name,Название
226,ru.activerecord.attributes.story_type_translation.permalink,URL,URL 
229,ru.activerecord.errors.messages.required_field,is a required field.,Поле обязательно для заполнения
230,ru.activerecord.errors.messages.already_exists,already exists in the database.,В базе данных уже существует.
231,ru.activerecord.errors.messages.story_authors,must have at least one person selected.,Должны выбрать по крайней мере одного человека.
232,ru.activerecord.errors.messages.publish_theme,The theme cannot be published until at least one published item has been assigned to the theme.,Тема не может быть опубликованна если хотя бы одна деталь не будет добавлена.
233,ru.activerecord.errors.messages.not_provided,must be provided.,must be provided.
234,ru.mailer.closing,"Sincerely,",С уважением
235,ru.mailer.signature,The Chai Khana Team,Команда Чайхана
236,ru.mailer.unsubscribe,Click here to change your notification settings,Нажмите здесь чтобы изменить настройки уведомлений.
237,ru.mailer.contact.contact_form.subject,Chai Khana Contact Form,Форма обратной связи с Чайхана
238,ru.mailer.notification.new_user.subject,Welcome to Chai Khana!,Добро пожаловать в Чайхана!
239,ru.mailer.notification.new_user.message,"Thank you for becoming a member of Chai Khana. We look forward to exploring the stories you build!

When you have a chance, please visit your settings page so you can update your avatar, nickname, personal URL, and a summary about yourself: [settings_link].

You can manage when you would like to receive email notifications from Chai Khana by going to the notifications page: [notifications_link].","Спасибо что стали участником Чайханы. Мы с нетерпением ждем Ваших историей!

Пожалуйста посетите страницу настроек, когда у Вас будет время. Там Вы сможете изменить свой аватар, никнейм, личный URL, и написать коротко о себе: [settings_link].

Вы можете настроить получения оповещений от Чайханы на электронную почту посетив соответствующую страницу: [notifications_link]."
240,ru.mailer.notification.published_theme.subject,New themes have been published on Chai Khana!,На Чайхане были опубликованы новые темы!
241,ru.mailer.notification.published_theme.message,The following themes you have expressed interest in were recently published:,"Следующие темы, которыми вы интересовались, были недавно опубликованы"
242,ru.mailer.notification.published_story.subject,New stories have been published on Chai Khana!,На Чайхане были опубликованы новые истории!
243,ru.mailer.notification.published_story.message,The following stories you have expressed interest in were recently published:,"Истории которыми Вы интересовались, были недавно опубликованы."
244,ru.mailer.notification.story_comment.subject,Someone has posted a comment on your story on Chai Khana!,Кто то оставил комментарию на Вашей истории в Чайхане!
245,ru.mailer.notification.story_comment.message,The following stories have recently received a comment:,Следующие истории недавно получили комментарий:
246,ru.mailer.notification.story_comment.comment,1 Comment,1 Комментарий
247,ru.mailer.notification.story_comment.comments,%{num} Comments,%{num} Комментарии
248,ru.mailer.notification.story_collaboration.subject,You have been invited to collaborate on a story on Chai Khana!,Вы были приглашены на сотрудничество над историей на Чайхане!
249,ru.mailer.notification.story_collaboration.message,"You have received the following invitations to collaborate on stories with other people on Chai Khana. If you would like to accept the invitation, simply click the 'Accept the Invitation' link. If you want to decline this invitation, no action is needed on your part.","Вы получили следующие приглашения к сотрудничеству над историей с другими участниками Чайханы. Если вы хотите принять приглашение, просто нажмите на ссылку ""принять приглашение"". Если вы хотите отказаться от этого приглашения, никаких действий не требуется с вашей стороны."
250,ru.mailer.notification.story_collaboration.from,From,От
251,ru.mailer.notification.story_collaboration.role,Role,Роль
252,ru.mailer.notification.story_collaboration.story_title,Story Title,Заглавок истории
253,ru.mailer.notification.story_collaboration.msg,Message,Письмо
254,ru.mailer.notification.story_collaboration.accept_link,Accept the Invitation,Принять приглашение
255,ru.mailer.notification.story_collaboration.all_invitations,View all of your Chai Khana collaboration invitations.,Просмотреть все приглашения на сотрудничество в Чайхане.
256,ru.mailer.notification.processed_videos.subject,Your videos on Chai Khana have been processed!,Ваши видео на Чайхане были обработаны!
257,ru.mailer.notification.processed_videos.message,The following stories of yours have videos that have completed processing:,"В ваших историях следующих есть видеоматериалы, обработка которых была завершена."
258,ru.mailer.notification.processed_videos.story_title,Story:,История:
259,ru.mailer.notification.processed_videos.status,Video Processing Status: %{processed} of %{total} completed,Состояание обработвки видеоматериала: %{processed} от %{total} завершена.
260,ru.mailer.notification.processed_videos.processed,Videos Processed:,Видеоматериал обработан.
261,ru.mailer.notification.processed_videos.not_processed,Videos Still Processing:,Видеоматериал находится в процессе обработки.
262,ru.mailer.notification.processed_videos.none_processed,No vidoes have been processed.,Видеоматериалы пока не обработаны.
263,ru.mailer.notification.processed_videos.none_processing,All videos have been processed!,Все видеоматериалы обработаны!
264,ru.mailer.notification.processed_video_errors.subject,Videos on Chai Khana have processing errors!,Появилась ощибка при обработке видеоматериала на Чайхане!
265,ru.mailer.notification.processed_video_errors.message,The following videos had errors while being processed:,В процессе обработки у следующих видеоматериалов появились ошибки.
266,ru.mailer.notification.processed_video_errors.story_id,Story ID,ID Истории
267,ru.mailer.notification.processed_video_errors.asset_id,Asset ID,ID Файла
268,ru.mailer.notification.processed_video_errors.path,URL of Video,URL Видео
269,ru.helpers.actions,Actions,Действия.
270,ru.helpers.links.admin,Admin Section,Раздел Админа.
271,ru.helpers.links.edit,Edit,Редактировать.
272,ru.helpers.links.confirm,Are you sure?,Вы уверенны?
273,ru.helpers.links.destroy,Delete,Удалить
274,ru.helpers.links.new,New,Новый
275,ru.helpers.links.list,View All,Посмотреть все
276,ru.helpers.links.back,View All,Посмотреть все
277,ru.helpers.links.cancel,Cancel,Отменить
278,ru.helpers.links.reset,Reset,Сброс
279,ru.helpers.links.view,View,Посмотреть
280,ru.helpers.links.sign_in_facebook,Sign in with Facebook,Войти через Facebook
281,ru.helpers.links.edit_story,Edit Story Settings,Изменить настройки истории.
282,ru.helpers.links.delete_story,Delete Story,Удалить историю.
283,ru.helpers.links.admin_story,Edit Content,Редактировать контент.
284,ru.helpers.links.publish_story,Publish Story,Опубликовать историю.
285,ru.helpers.links.forgot_password,Forgot Password?,Забыли пароль?
286,ru.helpers.links.change_password,Change Your Password,Изменить Вашу пароль
287,ru.helpers.links.change_password2,Change Password,Изменить пароль.
288,ru.helpers.links.password_reset,Reset Password,Восстановить пароль.
289,ru.helpers.links.sign_in2,Sign In,Войти
290,ru.helpers.links.sign_in,Already have an account?,Уже зарегистрированы?
291,ru.helpers.links.sign_up2,Sign Up,Стать участником
292,ru.helpers.links.sign_up_question,Not a member yet?,Еще не участник?
293,ru.helpers.links.sign_up,Register now,Зарегистрироваться сейчас
294,ru.helpers.links.sign_up_title,Join Chai Khana,Присоединиться к Чайхане
295,ru.helpers.links.sign_out,Sign Out,Выйти
296,ru.helpers.links.sign_in_provider,Sign in with %{provider},Войти через %{provider}
297,ru.helpers.links.sign_up_provider,Sign up with %{provider},Зарегистрироваться через %{provider}
298,ru.helpers.links.sign_in_local_or_provider,or log in with your email and password,или войти через эл.почту и пароль
299,ru.helpers.links.reset_or_sign_in,sign in with facebook or reset your password,войти через Facebook или восстановить пороль.
300,ru.helpers.links.add_story,Add Story,Добавить историю
301,ru.helpers.links.users,Users,Пользователи
302,ru.helpers.links.authors,Authors,Авторы
303,ru.helpers.links.feedback,Feedback,Отзывы
304,ru.helpers.links.about,About,О Чайхане
305,ru.helpers.links.rss,RSS,RSS
306,ru.helpers.links.themes,Themes,Темы
307,ru.helpers.links.story_types,Types,Типы
308,ru.helpers.links.languages,Languages,Языки
309,ru.helpers.links.follow,Follow,Следовать
310,ru.helpers.links.facebook,Facebook,Facebook
311,ru.helpers.links.twitter,Twitter,Twitter
312,ru.helpers.links.youtube,YouTube,YouTube
313,ru.helpers.links.subscribe,Subscribe,Получать обновления
314,ru.helpers.links.user_settings,Settings,Настройки
315,ru.helpers.links.like,Like,Нравится
316,ru.helpers.links.likes,Likes,"Отметки ""Нравится"""
317,ru.helpers.links.comments,Comment on this story,Комментарий
318,ru.helpers.links.views,%{num} views,%{num} просмотров
319,ru.helpers.links.tags,Tags,Теги
320,ru.helpers.links.menu,Menu,Меню
321,ru.helpers.links.pages,Edit Text on Site,Редактировать текст на сайте
322,ru.helpers.links.next,Next,Следующий
323,ru.helpers.links.feed,Feed,Лента новостей
324,ru.helpers.links.download,Download,Download
325,ru.helpers.links.previous,Previous,Previous
326,ru.helpers.links.story_menu.link.story,Story,История
327,ru.helpers.links.story_menu.link.story_settings,Story Settings,Настройки историй
328,ru.helpers.links.story_menu.link.collaborators,Collaborators,Сотрудники
329,ru.helpers.links.story_menu.link.preview,Preview,Предварительный просмотр
330,ru.helpers.links.story_menu.link.publish,Publish,Опубликовать
331,ru.helpers.links.story_menu.link.unpublish,Unpublish,Отменить опубликование
332,ru.helpers.links.story_menu.link.review,Private URL,Личный URL
333,ru.helpers.links.story_menu.link.clone,Clone,Клонировать
334,ru.helpers.links.story_menu.link.export,Download,Загрузить
335,ru.helpers.links.story_menu.link.delete_story,Delete,Удалить
336,ru.helpers.links.story_menu.link.translations,Translations,Переводы
337,ru.helpers.links.story_menu.title.story,Edit your story,Редактировать Вашу историю
338,ru.helpers.links.story_menu.title.story_settings,"Edit story title, authors, URL, summary, thumbnail, language, tags and/or categories, content etc.","Редактировать заглавок истроии, авторов, URL, аннотацию, эскиз (тамбнейл), язык, теги и/или категории, контент, итд"
339,ru.helpers.links.story_menu.title.collaborators,Manage which users have access to edit your story,"Установить, какие ползыватели имеют доступ к редактированию Вашей истории"
340,ru.helpers.links.story_menu.title.preview,See how your story looks,Посмотреть как выглядит Ваша история
341,ru.helpers.links.story_menu.title.publish,Make your story viewable to the world,Сделать Вашу историю видимой во всем мире
342,ru.helpers.links.story_menu.title.unpublish,Make your story NOT viewable to the world,Сделать Вашу историю НЕ видимой во всем мире
343,ru.helpers.links.story_menu.title.review,URL to share this story before publishing,URL для обмена до публикации
344,ru.helpers.links.story_menu.title.clone,Copy this story into a new story,Скопировать эту историю в новую историю
345,ru.helpers.links.story_menu.title.export,Download the complete story,Загрузить историю полностью
346,ru.helpers.links.story_menu.title.delete_story,Deleting a story cannot be undone,Удаление истории не возможно отменить
347,ru.helpers.links.story_menu.title.translations,Translate your story into other languages,Перевести Вашу историю на другие языки
348,ru.helpers.titles.new,New %{model},Новый %{model}
349,ru.helpers.titles.edit,Edit %{model},Редактировать %{model}
350,ru.helpers.titles.story_list,My Stories,Мои истории
351,ru.helpers.hints.nickname,"Your nickname is used in the URL to your published stories (e.g., nickname/story-title)","Ваш логин используется в URL ваших опубликованных историей (например, ник / история-название)"
352,ru.helpers.hints.local_avatar,Image that is shown in the header bar and on your user page (png and jpg only).,Фото которое будет отображаться в строке заголовка и на вашу страницу пользователя (только png и jpg ).
353,ru.helpers.hints.avatar,Image that is shown on the Author's page (png and jpg only).,Фото на странице автора (только .png и .jpg)
354,ru.helpers.hints.like,Like this story,Нравится эта история
355,ru.helpers.hints.unlike,Unlike this story,"Отменить ""Нравится эта история"""
356,ru.helpers.hints.staff_pick,Select as Staff Pick,Отметить как Избранная история
357,ru.helpers.hints.staff_unpick,Unselect as Staff Pick,Отменить статус Избранная история
358,ru.helpers.hints.is_staff_pick,Staff Pick,Избранная история
359,ru.helpers.hints.clone_asset,"If checked, the file to the left will be used for this translation","Если отметить, то файл, который находиться на левой стороне, будет выбран для этого перевода"
360,ru.app.language.en,English,English
361,ru.app.language.ka,ქართული,ქართული
362,ru.app.language.hy,Հայերեն,Հայերեն
363,ru.app.language.ru,Русский,Русский
364,ru.app.language.az,Azərbaycan,Azərbaycan
365,ru.app.buttons.back,View All,Посмотреть все
366,ru.app.buttons.list,View All,Посмотреть все
367,ru.app.buttons.admin,Admin Section,Раздел Админа.
368,ru.app.buttons.delete,Delete,Удалить
369,ru.app.buttons.edit,Edit,Редактировать
370,ru.app.buttons.show,Show,Показать
371,ru.app.buttons.cancel,Cancel,Отменить
372,ru.app.buttons.update,Update,Обновить
373,ru.app.buttons.save,Save,Сохранить
374,ru.app.buttons.save_and_next,Save & Next,Сохранить и перейти к следующему
375,ru.app.buttons.create,Create,Создать
376,ru.app.buttons.reset,Reset,Сброс
377,ru.app.buttons.remove,Remove,Удалить
378,ru.app.buttons.confirm,Are you sure?,Вы уверенны?
379,ru.app.buttons.new,New,Новый
380,ru.app.buttons.add_section,Add Section,Добавить раздел
381,ru.app.buttons.add_item,Add Item into Section,Добавить пункт к разделу
382,ru.app.buttons.up,Move Selected Section/Item Up,Переместить выбранный раздел/элемент вверх
383,ru.app.buttons.down,Move Selected Section/Item Down,Переместить выбранный раздел/элемент вниз
384,ru.app.buttons.delete_item,Delete Selected Section/Item,Удалить выбранный раздел/элемент
385,ru.app.buttons.preview,Preview,Предварительный просмотр
